package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
agoda.cronos.activities.client-side@1.0.6,0,0,1,29,0,0,2,35,0,1,1,1,0,0,1.0,0,0,1
commitlint-plugin-jira-type-rules@10.3.3,0,0,1,0,0,1,1,33,0,1,1,1,0,0,1.0,0,0,1
xnetgpt@1.0.0,3,0,1,0,0,1,3,7,0,0,0,1,0,0,1.0,0,0,1
elf-stats-bright-star-712@1.0.0,0,0,1,8,0,1,1,25,0,1,1,1,0,0,1.0,0,0,1
@h1shiny/ismobile@0.0.1,0,0,1,18,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
@h1shiny/ismobile@26.0.0,0,0,1,38,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
react-tchart@1.4.5,15,37,1,35,1,1,122,12,1,1,1,1,0,3,0.33,0,0,1
somemalicious@1337.0.0,0,0,1,447,0,1,0,13,0,1,1,1,0,0,1.0,0,0,1
@espace-client-axafr/savings-card@1.0.0,0,0,1,45,0,1,1,33,0,1,1,1,0,0,1.0,0,0,1
rosetta-elements@3.0.0,0,0,1,0,0,1,0,16,0,1,1,1,0,0,1.0,0,0,1
mad-2.4.0.2.2.8@1.0.0,0,0,0,0,0,1,1,15,0,0,0,1,0,0,1.0,0,0,1
vite-postcss-helper@3.0.4,13,14,1,155,0,1,11,19,0,0,0,1,0,0,1.0,0,0,1
bc-compare@4.1.1,0,0,1,0,0,1,1,10,0,1,1,1,0,0,1.0,0,0,1
electron-builder-13@13.7.5,1,0,1,0,0,1,1,19,0,0,0,1,0,0,1.0,0,0,1
electron-builder-13@13.12.6,1,0,1,0,0,1,1,19,0,1,1,1,0,0,1.0,0,0,1
electron-builder-13@13.3.4,0,0,1,0,0,1,1,19,0,0,0,1,0,0,1.0,0,0,1
airbnb-navigation@1.0.2,3,1,1,3,0,1,1,17,0,0,0,1,0,0,1.0,0,0,1
tailwind-color-shine@1.0.2,0,0,0,51,0,1,1,20,0,0,0,1,0,0,1.0,0,0,1
vite-logging-tool@1.0.0,11,14,1,125,0,1,17,17,0,0,0,1,0,0,1.0,0,0,1
vite-logging-tool@1.0.2,13,14,1,125,0,1,17,17,0,0,0,1,0,0,1.0,0,0,1
vite-logging-tool@1.0.1,12,14,1,125,0,1,17,17,0,0,0,1,0,0,1.0,0,0,1
redirect-h0i672@1.0.0,0,0,0,0,0,0,2,15,0,0,0,1,0,0,1.0,0,0,1
