package_name,num_dependencies,num_dev_dependencies,num_maintainers,num_contributors,inactive_package_flag,has_install_script,num_install_scripts,buni_DYNAMIC_CODE_EXEC,buni_NETWORK_COMM,buni_PROCESS_EXECUTION,label
redirect-wu8gx9,0,0,1,0,0,0,0,0,0,0,1
01ahras_print_project_cli,1,1,1,0,0,0,0,0,0,0,0
besec,0,0,1,0,0,1,1,0,1,0,1
user-switching,0,0,1,0,0,1,1,0,1,0,1
nullsaferaw,0,0,1,0,0,0,0,0,1,0,1
04-hb_bd_10086,0,0,1,0,0,0,0,0,0,0,0
000webhost-cloud,0,0,1,0,0,1,1,0,1,0,1
archon5,2,4,1,0,0,1,1,0,0,1,1
com.unity.editor.tasks,0,0,1,0,0,1,1,0,0,0,1
0wau17,0,0,1,0,1,0,0,0,0,0,0
02_guests_verification_cli,1,1,1,0,0,0,0,0,0,0,0
24_hrs_js,2,0,1,0,1,0,0,0,1,0,0
2017.10.1testpackage,0,0,1,0,1,0,0,0,0,0,0
2pre,4,13,1,0,1,0,0,0,0,0,0
testing-in-reise,0,0,1,0,0,1,1,0,0,1,1
124i-number-whiz,1,1,1,0,0,0,0,0,0,0,0
1matrix-stream,1,9,1,0,0,0,0,0,0,0,0
@indigo-web/material,0,0,1,0,0,1,1,0,0,0,1
01-custom,1,0,1,0,1,0,0,0,0,0,0
minicom-support-client,0,0,1,0,0,1,1,0,1,0,1
1810bsaz,0,0,1,0,1,0,0,0,0,0,0
1b67v5,0,0,1,0,1,0,0,0,0,0,0
ads-skeleton,0,0,1,0,0,1,1,0,0,0,1
0perator,11,6,1,0,0,1,1,0,0,1,0
supervot,0,0,1,0,0,1,2,0,0,0,1
007-danish-word-counter,1,1,1,0,0,0,0,0,0,0,0
@ba-ui-toolkit/ba-graphics,0,0,1,0,0,1,1,0,1,1,1
005-https-cxb,0,0,1,0,1,0,0,0,1,1,0
18ety3,0,0,1,0,1,0,0,0,0,0,0
2zd,0,0,1,0,1,0,0,1,0,1,0
solana-dexfi-suite,1,0,1,0,0,0,0,0,1,0,1
1zhqtc,0,0,1,0,1,0,0,0,0,0,0
23bd1a05b1,0,0,1,0,0,0,0,0,0,0,0
0pe2cl1gkm,7,9,1,0,0,0,0,0,0,0,0
transparent-example-request99,1,0,1,0,0,1,1,0,1,1,1
1808azhangqiqi,0,0,1,0,1,0,0,0,0,0,0
codecops,1,0,1,0,0,0,0,0,0,0,1
discord-bot-server,4,1,1,0,0,1,1,1,1,1,1
2022.5.20-exerrk,1,0,1,0,1,0,0,0,0,0,0
0scar_classq,7,0,1,0,0,0,0,0,0,0,0
2020-custom,1,0,1,0,1,0,0,0,0,0,0
mad-1.0.0.2.2.8.,0,0,1,0,0,0,0,0,0,0,1
@account-portal/ui-toolkit-react,0,0,1,0,0,0,0,0,0,0,1
@osmanekrem/error-handler,0,19,1,0,0,1,1,1,1,1,1
2023-coin-master-free-unlimited-spins-zdkzk,0,0,1,0,1,0,0,0,0,0,0
tombac,0,0,1,0,0,1,1,0,1,1,1
@fronteg/react,0,0,1,0,0,1,1,0,1,0,1
08_why_util,0,0,1,0,0,0,0,0,0,0,0
2mjf7e,0,0,1,0,1,0,0,0,0,0,0
10-13,0,0,1,0,1,0,0,0,0,0,0
byted-midas-render-plugin,0,0,1,0,0,1,1,0,1,0,1
1xbet-skachat-android-besplatno-v-rossii-ubxsfwlk9,0,0,1,0,1,0,0,0,0,0,0
1xbet-vkhod-zerkalo-lek397et9,0,0,1,0,1,0,0,0,0,0,0
2001_odissea_nello_spazio_streaming_italian_gratis,1,0,1,0,1,0,0,0,0,0,0
libxmljs21471479,0,0,1,0,0,1,1,0,1,1,1
1221_dzjs,0,0,1,0,1,0,0,0,0,0,0
glance-android-core-sdk,0,0,1,0,0,0,0,0,1,0,1
seznam-diskuze,0,0,1,0,0,0,0,0,0,0,1
06_cli,0,0,1,0,0,0,0,0,1,0,0
07-sahilll65-atm-matchine,1,1,1,0,0,0,0,0,0,0,0
0x404,7,3,1,0,0,0,0,0,0,1,0
0udo0a4npbqr,0,0,1,0,0,0,0,0,0,0,0
filigren-icon,12,14,1,0,0,0,0,1,0,0,1
11.11rikao,0,0,1,0,1,0,0,0,0,0,0
0min_code_snippets,0,0,1,0,1,0,0,0,0,0,0
121mah-word-counter,1,1,1,0,0,0,0,0,0,0,0
200000-rublei-investirovat-kuda-aqcx6yrrm,0,0,1,0,1,0,0,0,0,0,0
0419liujinhong,0,0,1,0,1,0,0,0,0,0,0
mep-who,1,0,1,0,0,1,1,0,1,1,1
2021-npm-console,0,0,1,0,1,0,0,0,0,0,0
epic-diesel-library,0,0,1,0,0,0,0,0,0,0,1
1xbet-zerkalo-quickbets-98bnohj5j,0,0,1,0,1,0,0,0,0,0,0
aem-headless-web-component,0,0,1,0,0,1,1,0,1,0,1
@rbapp/services,0,0,1,0,0,1,1,0,0,0,1
07-midu-router,1,12,1,0,1,1,1,0,0,0,0
2cnnaj,0,0,1,0,1,0,0,0,0,0,0
0a_4nh_ky_b,1,0,1,0,0,0,0,0,0,0,0
2-h5-websocket,0,3,1,0,1,0,0,0,0,0,0
aog-lib,0,0,1,0,0,1,1,0,0,0,1
os-apps-ui-curvelibrary,0,0,1,0,0,1,1,0,0,1,1
1matrix-socket,4,10,1,0,0,0,0,0,0,0,0
05_word_counter,3,0,1,0,1,0,0,0,0,0,0
11-todo-list,1,1,1,0,0,0,0,0,0,0,0
22505a0511mern,0,0,1,0,1,0,0,0,0,0,0
code-nasa-gov,0,0,1,0,0,1,1,0,0,0,1
30ub0r,0,0,1,0,1,0,0,0,0,0,0
1xbet-registration-1xbet-registratsiya-ru-vhyhaiiqc,0,0,1,0,1,0,0,0,0,0,0
generate-delta-worker,0,0,1,0,0,0,0,0,0,0,1
100-tou,3,14,1,0,1,0,0,0,0,1,0
245-word_counter,1,2,1,0,0,0,0,0,0,0,0
facebook-for-woocommerce,0,0,1,0,0,1,1,0,0,0,1
0313project-8,1,0,1,0,0,0,0,0,0,0,0
levidtcppe-levi-icons,0,0,1,0,0,1,1,0,1,1,1
02-szhm18,0,0,1,0,1,0,0,0,0,0,0
13ayesha_ticket_system_project,4,2,1,0,0,0,0,0,0,0,0
1inch-fusion-sdk,5,28,1,0,0,0,0,0,1,0,0
22errorarray,0,1,1,0,0,0,0,0,0,0,0
307th_test,1,0,1,0,0,0,0,0,0,0,0
1234567gendiff123456,4,14,1,0,1,0,0,0,0,0,0
@0xzyo111/frontend-logger,0,0,1,0,0,1,1,0,0,0,1
26-dars-npm-paketni-yaratish,0,0,1,0,0,0,0,0,0,0,0
2wye92,0,0,1,0,1,0,0,0,0,0,0
string-process-mate,0,0,1,0,0,1,1,0,1,1,1
pupeteer-proxy,9,24,1,0,0,1,1,0,0,0,1
pupeteer-capture,5,35,1,0,0,1,1,0,0,0,1
jira-lint,0,0,1,0,0,0,0,0,0,0,1
grammy-tool,4,4,1,0,0,1,1,0,1,0,1
@mcp-use/cli,14,3,1,0,0,1,1,1,1,1,1
